"OWNER","INDEX_NAME","TABLE_NAME","UNIQUENESS","STATUS"
"HAL","SYS_IL0000074371C00002$$","ARTICLE_ABSTRACTS","UNIQUE","N/A"
"HAL","SYS_C007811","RESEARCH_ARTICLES","UNIQUE","VALID"
