"TABLESPACE_NAME","ALLOC_MB","FREE_MB","USED_MB"
"HAL_DATA",6120,2357,88,3762,13
"HAL_TEST",1024,1022,88,1,13
"SYSAUX",750,43,06,706,94
"SYSTEM",3830,12,56,3817,44
"UNDOTBS1",100,71,75,28,25
"USERS",8,75,7,75,1
